2024-08-22 21:02:34,673 - src.logger - ERROR |  Нельзя создать чат с самим собой, 1!  |  actions_chat_db.py - def: check_chat_in_users_db - line: 13
2024-08-22 21:05:03,875 - root - ERROR |  Нельзя создать чат с самим собой, 1!  |  actions_chat_db.py - def: check_chat_in_users_db - line: 13
2024-08-22 21:05:08,653 - root - ERROR |  Нельзя создать чат с самим собой, 1!  |  actions_chat_db.py - def: check_chat_in_users_db - line: 13
2024-08-22 21:05:13,276 - root - ERROR |  Нельзя создать чат с самим собой, 1!  |  actions_chat_db.py - def: check_chat_in_users_db - line: 13
2024-08-22 21:05:53,144 - root - ERROR |  Нельзя создать чат с самим собой, 1!  |  actions_chat_db.py - def: check_chat_in_users_db - line: 13
2024-08-22 21:05:56,377 - root - ERROR |  Нельзя создать чат с самим собой, 1!  |  actions_chat_db.py - def: check_chat_in_users_db - line: 13
2024-08-22 21:05:56,791 - root - ERROR |  Нельзя создать чат с самим собой, 1!  |  actions_chat_db.py - def: check_chat_in_users_db - line: 13
2024-08-22 21:05:57,120 - root - ERROR |  Нельзя создать чат с самим собой, 1!  |  actions_chat_db.py - def: check_chat_in_users_db - line: 13
2024-08-22 21:05:57,436 - root - ERROR |  Нельзя создать чат с самим собой, 1!  |  actions_chat_db.py - def: check_chat_in_users_db - line: 13
2024-08-22 21:05:57,727 - root - ERROR |  Нельзя создать чат с самим собой, 1!  |  actions_chat_db.py - def: check_chat_in_users_db - line: 13
2024-08-22 21:09:07,054 - src.logger - ERROR |  Нельзя создать чат с самим собой, 1!  |  actions_chat_db.py - def: check_chat_in_users_db - line: 13
2024-08-22 21:09:32,374 - src.logger - ERROR |  Нельзя создать чат с самим собой, 1!  |  actions_chat_db.py - def: check_chat_in_users_db - line: 13
2024-08-22 21:14:48,808 - src.logger - INFO |  server started  |  main.py - def: <module> - line: 37
2024-08-22 21:14:48,810 - asyncio - DEBUG |  Using proactor: IocpProactor  |  proactor_events.py - def: __init__ - line: 634
2024-08-22 21:14:49,581 - src.logger - INFO |  New chat has got id 3  |  actions_chat_db.py - def: check_last_index_chat_db - line: 120
2024-08-22 21:14:49,583 - src.logger - INFO |  Chat id is 2  |  actions_chat_db.py - def: check_chat_in_users_db - line: 31
2024-08-22 21:14:49,583 - src.logger - INFO |  Chat is already created  |  actions_chat_db.py - def: create_chat_db - line: 79
2024-08-22 21:14:55,943 - src.logger - INFO |  New chat has got id 3  |  actions_chat_db.py - def: check_last_index_chat_db - line: 120
2024-08-22 21:14:55,945 - src.logger - INFO |  Chat id is 2  |  actions_chat_db.py - def: check_chat_in_users_db - line: 31
2024-08-22 21:14:55,945 - src.logger - INFO |  Chat is already created  |  actions_chat_db.py - def: create_chat_db - line: 79
2024-08-22 21:15:21,163 - src.logger - INFO |  server closed  |  main.py - def: <module> - line: 40
2024-08-22 21:19:29,021 - src.logger - INFO |  server started  |  main.py - def: <module> - line: 37
2024-08-22 21:19:31,744 - src.logger - INFO |  Chat id is 2  |  actions_chat_db.py - def: check_chat_in_users_db - line: 31
2024-08-22 21:19:31,745 - src.logger - INFO |  Chat is already created  |  actions_chat_db.py - def: create_chat_db - line: 79
2024-08-22 21:19:58,215 - src.logger - INFO |  Chat id is 2  |  actions_chat_db.py - def: check_chat_in_users_db - line: 31
2024-08-22 21:19:58,216 - src.logger - INFO |  Chat is already created  |  actions_chat_db.py - def: create_chat_db - line: 79
2024-08-22 21:20:50,816 - src.logger - INFO |  server closed  |  main.py - def: <module> - line: 40
2024-08-22 21:20:52,562 - src.logger - INFO |  server started  |  main.py - def: <module> - line: 37
2024-08-22 21:20:54,871 - src.logger - INFO |  User in DB  |  actions_user_db.py - def: insert_user - line: 25
2024-08-22 21:22:13,517 - src.logger - INFO |  server closed  |  main.py - def: <module> - line: 40
2024-08-22 21:22:15,074 - src.logger - INFO |  server started  |  main.py - def: <module> - line: 37
2024-08-22 21:22:16,841 - src.logger - INFO |  User 1 in DB already  |  actions_user_db.py - def: search_user_db - line: 38
2024-08-22 21:22:16,841 - src.logger - ERROR |  User in DB  |  actions_user_db.py - def: insert_user - line: 25
2024-08-22 21:23:23,271 - src.logger - INFO |  server closed  |  main.py - def: <module> - line: 40
2024-08-22 21:23:25,038 - src.logger - INFO |  server started  |  main.py - def: <module> - line: 37
2024-08-22 21:23:36,071 - src.logger - INFO |  User 1 in DB already  |  actions_user_db.py - def: search_user_db - line: 38
